Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,5,10.57142857,5,11.85714286,1,0,21,0,1,1,0.22
Change of Institution/Course,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,4,13.4,6,12.83333333,1,0,20,0,1,1,0.2533
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,13.5,3,11.33333333,0,0,18,0,1,1,0.3933
3rd Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.375,6,12.66666667,1,0,19,0,1,1,0.1733
1st Phase - General Contingent,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.42857143,5,12.4,1,0,34,0,1,1,0.2533
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11,1,0,39,0,1,1,0.2067
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,15.8,5,14.8,1,0,22,0,1,1,0.3067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.34285714,5,13.928,1,0,22,0,1,1,0.2133
2nd Phase - General Contingent,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,3,14.33333333,2,11.5,1,0,24,0,1,1,0.26
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,6,11.66666667,1,0,18,0,1,1,0.3
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.77142857,6,13.51666667,1,1,22,0,1,1,0.22
Technological Specialization Diploma Holders,Social Service (Evening Attendance),Female,Technological Specialization Course,6,13.28571429,6,11.5,1,1,21,0,1,1,0.1067
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,5,12.33333333,1,1,19,0,1,1,0.14
Over 23 Years Old,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,13.66666667,1,1,24,0,1,1,0.2267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,6,11.83333333,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11,4,14,1,1,20,0,1,1,0.1333
1st Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,5,15.8,5,14.71428571,1,0,19,0,1,1,0.2733
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.595,7,13.04444444,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.935,8,14.935,1,0,18,0,1,1,0.2667
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.5867
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.22142857,6,13.13333333,1,0,18,0,1,1,0.2133
Technological Specialization Diploma Holders,Social Service,Female,Technological Specialization Course,6,12,6,12,1,1,21,0,1,1,0.1067
2nd Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,19,0,1,0,0.5933
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,5,11.4,1,0,19,0,1,1,0.3
Change of Course,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,24,0,1,0,0.66
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,19,0,1,0,0.54
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,12.42857143,6,12.57142857,1,0,23,0,1,1,0.22
Over 23 Years Old,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,6,12,1,0,26,0,1,1,0.2933
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.5533
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,13.75,7,11.975,1,0,24,0,1,1,0.3133
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12.33333333,6,12.33333333,1,0,18,0,1,1,0.24
2nd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,13.66666667,1,1,19,1,1,1,0.1933
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,15.05555556,7,14.84285714,1,1,22,0,1,1,0.1933
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.66666667,6,12,1,0,33,0,1,1,0.2467
2nd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11.33333333,5,12,1,0,18,0,1,1,0.2733
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,11,6,11,1,0,33,0,1,1,0.18
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.08,7,13.08,1,1,22,0,1,1,0.2
Over 23 Years Old,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,4,10.5,1,1,25,0,1,1,0.1733
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,6,10.66666667,1,0,20,0,1,1,0.2667
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,4,14,1,0,23,0,1,1,0.3467
Change of Course,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,2,10,1,0,18,1,1,0,0.5867
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,14,0,0,21,0,1,1,0.28
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,8,11.875,1,0,44,0,1,1,0.18
International Student (Bachelor),Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,3,13.25,5,14,1,0,19,0,1,1,0.3467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,13.66666667,1,0,18,0,1,1,0.2267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.47777778,7,13.75,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,5,14.2,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,20,0,1,0,0.5867
Over 23 Years Old,Agronomy,Female,Other - 11th Year of Schooling,13,14.23076923,18,14.63157895,1,0,43,0,1,1,0.1533
Change of Institution/Course,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,11,12.27272727,10,13,1,0,20,1,1,1,0.26
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,3,13,6,11.66666667,1,0,20,0,1,1,0.28
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15,6,13.85714286,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11,3,13,1,1,18,0,1,1,0.22
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,5,13.4,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.57142857,6,12.66666667,1,0,18,0,1,1,0.2267
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13,6,11.61666667,1,0,20,0,1,1,0.16
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.75,2,10,1,1,20,0,1,1,0.1867
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10.66666667,3,10.33333333,1,0,20,0,1,1,0.36
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.4,5,13.14285714,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14,5,12.6,1,0,18,0,1,1,0.3067
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,5,10.8,1,0,19,0,1,1,0.3067
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,5,12.8,1,1,19,0,1,1,0.1467
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.2,6,14.16666667,1,0,19,0,1,1,0.2467
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,5,13.77777778,6,14.16666667,1,0,20,0,1,1,0.2067
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,5,12.8,1,1,18,0,1,1,0.1533
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,13,1,0,18,0,1,1,0.3
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.01111111,7,13.46714286,1,0,19,0,1,1,0.2667
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12.33333333,1,0,18,0,1,1,0.2933
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.6,5,12.4,1,0,19,0,1,1,0.3067
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.71428571,9,11.66666667,1,0,20,0,1,1,0.2067
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.5,4,12.2,1,0,20,0,1,1,0.2467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.83333333,6,14.83333333,1,1,18,1,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.89285714,5,13.188,1,1,20,0,1,1,0.2067
3rd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,17.5875,7,17.125,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,6,12.66666667,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,6,12.66666667,1,1,19,0,1,1,0.14
Change of Institution/Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,0,0,22,1,1,0,0.5067
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.5,6,11.33333333,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.33125,7,13.605,1,1,19,0,1,1,0.2067
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,5,12,1,1,19,0,1,1,0.16
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.16666667,5,13.375,1,0,18,0,1,1,0.3067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.17857143,6,13.86333333,1,1,20,0,1,1,0.2067
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.5867
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,5,12.4,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.83333333,3,12.33333333,1,0,18,0,1,1,0.34
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,6,13.33333333,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,5,10.6,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.85714286,6,12.25,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,4,11,1,0,20,0,1,1,0.2133
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,5,11,1,1,24,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.76111111,7,12.85555556,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.355,7,14.91875,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,5,14.2,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,12.5,1,1,19,0,1,1,0.24
Over 23 Years Old,Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,47,1,1,0,0.5267
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,5,11.66666667,1,0,19,0,1,1,0.3
Over 23 Years Old,Nursing,Female,Higher Education - Degree,7,14.25714286,7,14.25714286,1,0,29,0,1,1,0.16
Over 23 Years Old,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.5,4,11.25,1,0,28,0,1,1,0.2467
2nd Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.5625,7,12.45714286,1,0,20,0,1,1,0.2267
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.68333333,6,11.68333333,1,0,19,0,1,1,0.2667
Transfer,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,3,11.66666667,1,0,26,0,1,1,0.4267
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13.5,3,11.66666667,1,1,18,0,1,1,0.1467
Over 23 Years Old,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,5,13.2,1,0,27,0,1,1,0.22
Change of Course,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,19,12.78947368,21,12.61904762,1,0,35,0,1,1,0.26
Technological Specialization Diploma Holders,Management (Evening Attendance),Female,Technological Specialization Course,6,13.16666667,6,12.66666667,1,1,26,0,1,1,0.1133
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10,8,11.5,0,0,21,1,1,1,0.2067
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.05,6,13.05,1,1,18,0,1,1,0.22
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,11.5,1,0,20,0,1,1,0.2933
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,12,1,1,21,0,1,1,0.1667
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,1,10,2,10,1,0,23,0,1,1,0.2
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.24285714,7,12.24285714,1,0,18,0,1,1,0.2133
3rd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.93375,8,12.93375,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.42857143,7,12.57142857,1,0,18,0,1,1,0.26
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.33333333,3,11.81666667,1,0,35,0,1,1,0.2133
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,4,14.33333333,4,13.75,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.33333333,6,11.16666667,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.32428571,7,12.32428571,1,0,18,0,1,1,0.2133
Technological Specialization Diploma Holders,Social Service,Female,Technological Specialization Course,6,11.71428571,6,12.16666667,1,0,21,1,1,1,0.1933
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,5,11.14285714,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.75,4,11,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.91428571,7,12.91428571,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,13.83333333,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.4,6,13.85714286,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.64285714,7,12.64285714,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.91666667,6,12.91666667,1,1,18,0,1,1,0.2067
Change of Course,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15.85714286,6,15.625,1,1,20,0,1,1,0.18
Change of Course,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,11.71428571,1,0,21,0,1,1,0.2467
Over 23 Years Old,Oral Hygiene,Female,Higher Education - Degree (1st Cycle),8,13.3125,6,12.125,1,0,25,0,1,1,0.16
3rd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11.6,1,1,19,0,1,1,0.2267
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12.33333333,4,13,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.5,6,13.33333333,1,1,19,0,1,1,0.1533
Change of Institution/Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.19285714,5,13.85,1,1,19,0,1,1,0.2133
3rd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.9125,6,13.74166667,1,1,19,0,1,1,0.1933
Holders of Other Higher Courses,Management (Evening Attendance),Female,Higher Education - Master (2nd Cycle),5,15.8,6,15.33333333,1,0,33,0,1,1,0.22
Holders of Other Higher Courses,Management,Female,Higher Education - Degree,5,13.8,5,11,1,0,45,0,1,1,0.2533
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.85714286,6,12,1,1,20,0,1,1,0.14
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.57142857,7,11.57142857,1,1,19,0,1,1,0.1533
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12.66666667,6,12.85714286,1,0,18,0,1,1,0.22
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,5,13,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,5,11,1,1,21,0,1,1,0.1667
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,5,12.6,1,1,22,0,1,1,0.14
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.16666667,5,13.4,1,1,18,0,1,1,0.1533
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.57142857,6,11.33333333,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.4625,6,12.47142857,1,0,19,0,1,1,0.2133
1st Phase - Special Contingent (Madeira Island),Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,9,13.55555556,11,12.90909091,1,0,24,0,1,1,0.2267
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.6,5,11.6,1,1,20,0,1,1,0.2067
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,10,12.36363636,9,12.9,1,1,20,0,1,1,0.2067
Holders of Other Higher Courses,Nursing,Female,Higher Education - Degree,8,13.22,8,13.22,1,0,23,0,1,1,0.2867
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.15142857,7,13.15142857,1,1,19,0,1,1,0.22
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.25,6,11.33333333,1,0,21,0,1,1,0.2267
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.14285714,6,13.25,1,1,18,0,1,1,0.1467
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,12.4,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13,5,14.4,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,1,11,1,0,18,0,1,1,0.48
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,5,12.4,1,0,18,0,1,1,0.32
2nd Phase - General Contingent,Management (Evening Attendance),Female,Higher Education - Degree (1st Cycle),5,12.33333333,5,13.57142857,1,0,29,0,1,1,0.28
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,11.83333333,1,0,18,0,1,1,0.2933
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.66666667,5,11.66666667,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.6,6,11.16666667,1,1,20,0,1,1,0.1667
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,14,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,12.83333333,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.66666667,4,12.25,1,0,18,0,1,1,0.2267
